ts_iso,tMono_s,kind,accLong_ms2,accLat_ms2,accVert_ms2,lat,lng,speed_ms,gpsAcc_m
2026-05-01T19:10:21.254Z,9561.850516,imu,-0.344374,0.221352,-0.377180,,,,
2026-05-01T19:10:21.264Z,9561.860263,imu,-0.492555,0.109609,-0.835893,,,,
2026-05-01T19:10:21.274Z,9561.870326,imu,-0.659700,-0.026602,-1.518796,,,,
2026-05-01T19:10:21.284Z,9561.880392,imu,-0.769189,-0.210695,-2.075475,,,,
2026-05-01T19:10:21.293Z,9561.890157,imu,-0.829279,-0.458048,-2.268569,,,,
2026-05-01T19:10:21.303Z,9561.900088,imu,-0.724566,-0.644389,-2.173433,,,,
2026-05-01T19:10:21.314Z,9561.910242,imu,-0.395011,-0.521183,-1.748352,,,,
2026-05-01T19:10:21.323Z,9561.920007,imu,-0.045495,-0.242562,-1.196129,,,,
2026-05-01T19:10:21.333Z,9561.930015,imu,0.191695,-0.048049,-0.676485,,,,
2026-05-01T19:10:21.344Z,9561.940171,imu,0.324957,0.073925,-0.286293,,,,
2026-05-01T19:10:21.353Z,9561.949874,imu,0.351703,0.281725,-0.322836,,,,
2026-05-01T19:10:21.363Z,9561.959883,imu,0.304175,0.619910,-0.586128,,,,
2026-05-01T19:10:21.373Z,9561.969964,imu,0.249817,0.861132,-0.900670,,,,
2026-05-01T19:10:21.383Z,9561.980081,imu,0.115442,0.891279,-1.342903,,,,
2026-05-01T19:10:21.393Z,9561.989662,imu,-0.115652,0.864203,-2.006884,,,,
2026-05-01T19:10:21.403Z,9561.999836,imu,-0.410212,0.819923,-2.972978,,,,
2026-05-01T19:10:21.413Z,9562.009581,imu,-0.842432,0.706823,-3.821073,,,,
2026-05-01T19:10:21.423Z,9562.019530,imu,-1.212519,0.599023,-4.242658,,,,
2026-05-01T19:10:21.433Z,9562.029714,imu,-1.404957,0.558894,-4.470485,,,,
2026-05-01T19:10:21.443Z,9562.039405,imu,-1.437552,0.569859,-4.147113,,,,
2026-05-01T19:10:21.453Z,9562.049441,imu,-1.295799,0.606713,-3.423586,,,,
2026-05-01T19:10:21.463Z,9562.059483,imu,-0.894670,0.783497,-2.285771,,,,
2026-05-01T19:10:21.473Z,9562.069266,imu,-0.368436,1.101360,-1.014868,,,,
2026-05-01T19:10:21.483Z,9562.079339,imu,0.218711,1.362829,0.115521,,,,
2026-05-01T19:10:21.493Z,9562.089505,imu,0.681995,1.436266,1.075274,,,,
